99,8
99,4
99,7
99,6
99,4
98,2
97,7
99,9
99,9
99,6
88,5
78,5
73,0
67,4
69,9
71,0
76,3
85,1
89,9
93,2
90,7
89,1
87,3
88,0
87,7
85,5
87,8
90,6
90,0
87,9
88,3
89,8
89,2
87,1
84,7
81,0
78,7
79,7
75,7
74,2
77,6
84,6
85,5
84,3
85,8
86,8
87,3
88,1
87,5
85,6
85,3
91,8
81,9
76,0
78,3
79,1
80,9




76,1
74,5
82,1
83,8
82,2
82,5
80,9
82,8
85,3
85,9
83,4
84,5
82,1
86,8
89,8
89,7
89,0
89,7
91,1
89,4
86,8
84,0
85,3
85,8
91,5
91,8
90,7
90,3
92,9
92,7
93,3
92,9
93,0
93,8
94,0
94,9
94,7
95,9
93,1
93,5
87,6
93,9
94,0
92,2
91,4
86,1
83,0
75,5
71,0
74,0
71,7
73,8
81,2
84,2
82,1
85,0
83,4
87,8
91,8
95,2
96,2
96,0
95,6
95,2
95,4
95,5
96,4
96,9
96,2
93,2
80,7
69,2
64,0
70,3
70,5
77,7
90,3
94,1
94,9
95,5
95,3
96,0
96,6
96,3
96,2
95,9
94,8
94,1
94,1
92,7
91,1
90,1
88,0
85,5
82,8
81,4
80,4
76,7
75,6
74,5
72,0
76,6
78,5
82,3
86,0
89,3
91,8
93,5
94,5
95,2
94,7
95,2
95,0
95,0
94,8
95,5


88,2
87,1
90,3
93,3
93,5
93,8
94,4
95,0
94,9
94,9
94,6
94,9
95,7
96,5
96,4
96,6
96,5
96,7
97,1
97,3
97,2
97,0
96,5
93,8
91,9
86,8
79,0
72,5
78,8
90,8
93,3
93,1
92,8
93,9
95,9
96,5
96,8
97,0
97,1
97,1
97,1
96,7
96,8
96,7
96,6
96,6
97,0
97,4
82,6
70,5
67,9
72,1
74,0
83,2
91,8
94,5
95,4
95,9
95,2
94,8
86,8
76,4
76,0
73,6
74,9
74,3
77,2
81,2
82,2
84,7
84,0
77,2
73,4
67,0
65,3
65,7
67,4
76,2
85,9
83,9
83,4
87,0
88,0
85,2
79,5
77,1
78,1
77,6
77,5
76,8
73,4
